POS,NN,Ndist,Nweight
"[0.0, 0.0, 0.0]","[1335, 1001, 4000, 4395, 3989, 4632, 1755, 3309, 4683, 3212, 2185, 886, 3759, 1837]","[0.04645609887971631, 0.05666523297318955, 0.062433714308965806, 0.07306525971043418, 0.09218132507242455, 0.09994270268346395, 0.12748738347421934, 0.12998549712773755, 0.13711011580033328, 0.14470653061862035, 0.15401281721799803, 0.15860854010524494, 0.16172438682642692, 0.16316366098363666]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
"[0.0, 0.0, 1.0]","[4722, 394, 4807, 1013, 655, 43, 1828, 4480, 4377, 4720, 3772, 2191, 2639, 285]","[0.06977252367578121, 0.1082515282545232, 0.12461891452085468, 0.13606123897136463, 0.14892156138742843, 0.15895796621631522, 0.16237609815476542, 0.17089936222550642, 0.18164047098942118, 0.19404125538275993, 0.19405761328183727, 0.19457375988948103, 0.2015554201248249, 0.21025970229704014]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
"[0.25269200263720104, 0.9849408467902863, 0.3314800109494993]","[4294, 4484, 123, 3303, 3336, 3644, 892, 2795, 4558, 1660, 589, 4589, 2504, 2126]","[0.040574058320505244, 0.041479961849668505, 0.052612650454830066, 0.06304390959502044, 0.06674244176171397, 0.06832394133004244, 0.06876602153601084, 0.07111527788060186, 0.07875424559385162, 0.08599974314356129, 0.08676928557055369, 0.09030682637214046, 0.09188276567216105, 0.09203343142645978]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
"[0.47726847554665564, 0.6979507339617127, 0.8890429626767599]","[3403, 2003, 4288, 1384, 1054, 383, 2291, 2158, 160, 1586, 805, 3237, 3956, 4527]","[0.05033644496118137, 0.05621403687201615, 0.056393942396188425, 0.05651976750565789, 0.061433889351313345, 0.06450168382601291, 0.07012747512163645, 0.07389910246339884, 0.08082395748393513, 0.08113693252148357, 0.08249563187357115, 0.08333511840985156, 0.08375161833510547, 0.08655530213955984]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
"[0.7306669999946815, 0.5765609452170354, 0.7482429902543296]","[3114, 695, 409, 650, 4819, 2725, 2040, 4543, 2339, 4102, 3360, 4313, 1506, 1056]","[0.042164855203308184, 0.04604054889722055, 0.04618199501495507, 0.06172477905922381, 0.06311644119545745, 0.06898265663850166, 0.07004573181072059, 0.07404889982178449, 0.07635134966850325, 0.07851750101224102, 0.07958236060049732, 0.08015665303861791, 0.08622460079635719, 0.08674762531909251]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
"[0.5471209364702914, 0.7109268812372307, 0.3725662075841608]","[1076, 3672, 809, 3133, 4999, 3245, 1356, 1022, 2799, 118, 1610, 4194, 1169, 3267]","[0.03906554578891202, 0.042381527427198695, 0.049332432654353865, 0.050619883221187184, 0.05348622955723584, 0.06150864601753193, 0.06174389535674023, 0.06226769559523495, 0.0632672029606129, 0.07165439741375706, 0.07175132200403143, 0.07188941254305194, 0.07214887217820222, 0.07793192779250536]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
"[0.7780303679512527, 0.6377651450417173, 0.8417409864299674]","[4102, 4309, 2037, 650, 4612, 972, 1506, 1553, 4543, 4635, 1796, 4819, 4642, 3942]","[0.04472173541238978, 0.04698521158516132, 0.051753489876716734, 0.060039802695712775, 0.06384237894019129, 0.06522143197311797, 0.07233279603999467, 0.07275273268892153, 0.07402279628386331, 0.07552534060842508, 0.07638095791641568, 0.08390112977203461, 0.08693287854437139, 0.08951427745396745]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
"[0.9652565143020435, 0.05858799828199568, 0.18069573646512793]","[2545, 4457, 1818, 1393, 1469, 3379, 1472, 2922, 4792, 4649, 2696, 1905, 2374, 2999]","[0.028351749773835623, 0.035896931391843516, 0.04317761125838454, 0.04543882958533936, 0.05201859697791726, 0.06388205389664682, 0.06586707858256305, 0.0661183738033658, 0.0772852546582762, 0.07885896128418461, 0.08514541688237426, 0.08980947469434757, 0.10263493077033368, 0.10518416162279469]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
"[0.9746504628882594, 0.862016982231569, 0.05760095524353659]","[3038, 1999, 3030, 3861, 1995, 2931, 1806, 4678, 4257, 853, 2919, 3144, 1585, 1431]","[0.029729405920145866, 0.032189886682311125, 0.039846791883021586, 0.055268516895520585, 0.06813484259041165, 0.07489605947478925, 0.0876300475684513, 0.08961443821617253, 0.09507582471958738, 0.1055528649910009, 0.11126347372592445, 0.11142393222745826, 0.11285704626851789, 0.11619680054596371]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
"[0.11676731647953964, 0.644649648105104, 0.3145023265518072]","[832, 2521, 4445, 1790, 37, 1833, 2575, 117, 3423, 957, 3042, 556, 2861, 2536]","[0.018048653825852835, 0.03158111157771298, 0.050415737521769005, 0.0522597859815835, 0.05334912681895024, 0.054997273410133836, 0.0638780085692744, 0.07357318899087666, 0.0785497881179863, 0.08284914011618932, 0.08602112495308059, 0.08855587279061271, 0.09975594943321196, 0.10482077918074666]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
