POS
"(6.043185, 5.9071774)"
"(2.4430747, -1.429289)"
"(8.902376, 1.679073)"
"(9.836992, 2.657127)"
"(9.881324, -0.44663924)"
"(3.9103072, 2.162622)"
"(5.0229187, 2.4679947)"
"(3.134587, -1.6881392)"
"(4.6966033, 6.7874064)"
"(2.880887, -0.6655444)"
"(3.3644798, 5.381437)"
"(5.207188, 6.4826207)"
"(2.144163, -1.6370414)"
"(9.324982, -1.9757475)"
"(7.696447, -2.3837368)"
"(2.9084826, 2.2704778)"
"(3.6477578, 3.0609236)"
"(8.933845, 2.825186)"
"(6.4923472, 5.3111854)"
"(9.321974, 0.20484829)"
"(7.3547955, -4.149259)"
"(2.9397528, 0.53294927)"
"(4.114818, -0.19536702)"
"(9.2214775, -1.0935476)"
"(4.2582192, -1.8483038)"
"(5.5639043, 2.8869762)"
"(3.1851501, 5.0878024)"
"(9.788231, 3.7311747)"
"(2.2403522, 0.114086084)"
"(3.58574, 4.7335873)"
"(7.6497245, -3.8180175)"
"(3.0714004, -2.0815306)"
"(5.738104, -2.0126407)"
"(6.012801, 4.657878)"
"(3.3174708, 3.529607)"
"(6.1193166, 2.0564022)"
"(9.237412, 3.8464482)"
"(9.460033, 2.8725696)"
"(5.978832, 3.390364)"
"(8.770742, -3.9198015)"
"(4.488872, 4.2950206)"
"(7.837033, 4.100207)"
"(10.183912, 2.322319)"
"(6.69965, -1.5200689)"
"(10.710656, 0.08072912)"
"(4.8893337, 4.71702)"
"(2.906852, -1.2339873)"
"(6.8184648, 3.2983983)"
"(8.680916, -0.77904564)"
"(8.175433, -2.260777)"
"(6.0874104, -3.6944852)"
"(8.766151, -2.3189645)"
"(3.4169164, -0.5787486)"
"(7.939273, 2.720353)"
"(7.1403847, -2.9052978)"
"(10.877066, -1.3049465)"
"(4.9523787, -1.4619132)"
"(5.8769317, 6.5477343)"
"(8.096812, -0.540738)"
"(11.033705, -1.8639741)"
"(7.0432835, -3.9751482)"
"(7.2816005, 3.812639)"
"(9.736866, -0.89694124)"
"(7.5077147, 1.213265)"
"(4.155335, 2.3953109)"
"(10.264099, -1.2300185)"
"(4.097908, 6.0952477)"
"(3.832025, 6.4176416)"
"(4.344044, -1.3008691)"
"(8.040284, -3.5619447)"
"(8.070097, 2.6130455)"
"(4.753461, 3.5541694)"
"(6.869042, 4.7271576)"
"(4.142196, 5.354582)"
"(4.56692, 2.7247107)"
"(4.6191993, 6.290816)"
"(4.905527, 1.4972068)"
"(11.244702, -0.58612245)"
"(9.865426, 1.1631856)"
"(6.6748853, -3.1517875)"
"(4.843093, -2.7331712)"
"(9.756547, -1.6311713)"
"(10.142587, -2.4441836)"
"(10.338591, -2.5342221)"
"(5.5228896, 5.5413175)"
"(7.1998096, 2.2123935)"
"(3.8405855, -2.597511)"
"(5.955003, -2.9549081)"
"(9.833523, 0.12989426)"
"(8.639359, 4.0067253)"
"(9.0183935, 2.1559753)"
"(7.1781344, -2.5214162)"
"(8.548786, 0.51024646)"
"(6.8389654, -1.7301847)"
"(3.8600035, -1.4489546)"
"(8.084389, -1.2013779)"
"(9.012454, -3.3711822)"
"(4.819837, 5.5128684)"
"(3.8324063, 1.6088957)"
"(8.741593, 3.2682936)"
