POS
"(-10.303468725300293, 0.4287676802781015)"
"(0.8754101207632293, 9.531986622358087)"
"(3.85289222800993, 4.187135130316719)"
"(2.4677505844769403, -9.488549419327565)"
"(-1.614674560711641, -2.8488001996641774)"
"(4.428935567039442, 6.331350575403179)"
"(-7.67959843666484, 2.6259224850156877)"
"(9.230346212879258, -0.5552398749049481)"
"(-1.1614147352296742, 6.30126485277264)"
"(6.967014207574372, 1.0392175888767254)"
"(0.3270541046932468, 3.672990930191613)"
"(-10.303947976023105, 0.42878422409866673)"
"(1.869278335073692, 8.037724644206346)"
"(1.7109217912423698, 0.17256291598086537)"
"(-4.527526128500995, 1.3468121847112822)"
"(1.755012046475162, 2.307867624922043)"
"(-1.8658119733584881, 7.882138522105766)"
"(2.611900712957433, -9.394921545431947)"
"(3.4765278528649963, 7.801469916803656)"
"(-7.369524692461662, -1.9366467740620492)"
"(7.39869856219123, -2.8304388346909617)"
"(6.21752458420411, 3.8091695950281896)"
"(4.876530463026424, 6.1619785166669505)"
"(3.9632511489853752, -3.986397554162049)"
"(-8.232483365182272, 0.9698847525022541)"
"(5.292989800137632, 1.0316661616631206)"
"(-2.3951922524001934, 3.3294353747518253)"
"(9.124042578826561, 1.5725027697283922)"
"(-6.220822824696134, -3.8794884330046973)"
"(7.189343663678996, 2.179355262172832)"
"(-6.266224158664659, -5.25145703083005)"
"(2.3454923451652405, 2.8983803168887516)"
"(0.3937240711320178, 8.4947646481887)"
"(-0.03628366003374117, -0.11770612012649544)"
"(0.8754080692041107, 9.531986815139668)"
"(5.214361530703668, -3.327546023575062)"
"(10.256142475708893, -1.2091560748410903)"
"(-7.710153107718554, 1.1427163253665547)"
"(-6.462291222444271, -0.791554007250154)"
"(4.300825124744021, 1.308886434227241)"
"(-7.398241458794596, -0.36140298601734866)"
"(0.1250379242984262, 4.6571574140883)"
"(-3.0891488152876856, 3.261619550301771)"
"(3.9049477620215054, -3.3010272683168145)"
"(-0.5001857008172342, -2.743875272724801)"
"(-9.385125941697328, -0.6472302575759215)"
"(-0.1844362892378652, 3.1523363386742713)"
"(1.3361951327410517, 7.4594024826630605)"
"(-2.5028805554569424, -7.354134774607225)"
"(-0.47791173532761394, 5.316623590080455)"
"(6.6470322552064935, 3.4190208025902518)"
"(-3.4440947774270994, 2.7385191039681565)"
"(0.3718464003648511, 8.195580556910611)"
"(-5.52166306862745, 5.6938770687759215)"
"(-6.251237087573114, -2.1142572749032897)"
"(-3.380166079178312, -2.2550341035583483)"
"(7.029965452959065, -3.876212918606769)"
"(-3.8700336914724565, -0.39144559241597326)"
"(-6.324988837182673, -1.9209763492026888)"
"(4.966877278538416, -1.1122300074520686)"
"(5.468918390795843, -1.111993834210531)"
"(-2.4115806923611123, -5.287570834628546)"
"(3.354148448972863, -1.7741629700094699)"
"(5.801559070306169, 4.872214200153804)"
"(4.288553485656136, -1.6986646212235819)"
"(-4.0641697368077345, 2.7840252134616152)"
"(4.617310207227897, 6.128656020003449)"
"(0.4203537060781526, -9.376545744638848)"
"(-5.852897404597229, 1.343750298914867)"
"(-2.1306301538928647, 2.1773812524967506)"
"(0.34754411842552363, 8.5501631878426)"
"(-0.4606754386780669, -5.488325880567299)"
"(-5.351379485337304, 1.2638923675227316)"
"(-8.37112861302703, -1.80797742170874)"
"(6.217478053423051, 0.19664870572879842)"
"(5.874337628518557, -5.262275727205413)"
"(-1.8725782481583613, 0.22045531862527012)"
"(-5.618123361103612, -5.804219792600984)"
"(-0.605389361966223, -3.7896138313976806)"
"(-0.7263571691703089, 3.339537137347594)"
"(-0.3171686523460741, 9.240223654123913)"
"(2.4259809766167777, 8.37451022235597)"
"(6.8921662988547805, 3.1141583734197336)"
"(4.897758988796975, -4.722039941326357)"
"(6.963540224787699, 1.7651738314934742)"
"(5.821703090737745, 2.746120777976319)"
"(-2.8331344572119406, 7.611335293582991)"
"(-2.0522816683090173, -6.411048064463538)"
"(0.34022006195082083, -6.109447587774541)"
"(1.2808223207600016, -0.7068037333439428)"
"(8.345482656782288, -3.6584735365443426)"
"(-3.4525627896865347, -2.168075432897013)"
"(-5.522319474740797, 5.69611615491069)"
"(4.6026282452439915, -6.7390526482084)"
"(4.58898379380999, 3.0728746620487657)"
"(-8.363867225498689, -2.101871838530102)"
"(-2.358367821270926, -6.731530909811479)"
"(10.278791667503677, -0.4964275692732461)"
"(-8.15759059900423, -3.275259690858063)"
"(1.4511622690599575, -9.186712529093418)"
"(-5.48744354878156, -0.9868957574384919)"
"(1.6045207759364302, -5.666332411588185)"
"(0.30741938074648933, 0.6143860652923397)"
"(-2.4236204246360935, -3.7212625797007925)"
"(3.8983424009369596, 7.01022472823213)"
"(6.4081124694787786, -1.623540312385729)"
"(0.11112027559861824, 2.6586494430245655)"
"(8.448192443700638, -1.724697148105737)"
"(1.185602263956343, -2.764271409033448)"
"(-5.165712611695406, -2.0779677050604226)"
"(6.252924150100707, 1.8312494161022166)"
"(0.016228297131307662, 0.9298980085489241)"
"(8.32406751417055, -0.5586966886285536)"
"(7.135412361125109, -2.7271971793507803)"
"(-1.088512376409707, 8.68750414324334)"
"(-0.38356225836349356, -8.295601137638402)"
"(4.071665624182548, 6.787600307465393)"
"(-0.08950630468432948, -9.284828270719393)"
"(-3.4426353848440705, 0.9859043516666164)"
"(4.112816217417856, 3.9195173559569554)"
"(-2.5624873282783938, 4.727413579978357)"
"(-2.251676128682806, -2.6512093647352257)"
"(0.42234742100168393, -9.368311259958775)"
"(-5.522319474740797, 5.69611615491069)"
"(-0.26097202365802097, 8.245350072174485)"
"(-6.75082560054995, 2.0164408032503216)"
"(-3.452361566697096, -6.076718492245814)"
