POS
"(1.7717651926282079, -7.390325726368665)"
"(-6.664302670362712, 0.07996291666497723)"
"(-2.558767115836485, 4.385228674039434)"
"(7.322814716615638, 0.9345032357747378)"
"(-0.4603960091375286, 0.2706465117241116)"
"(3.315516410814588, -3.298859860601932)"
"(0.0699868268330042, -0.1783455135747553)"
"(-1.1082729347010225, -4.390122623063673)"
"(-0.2720589001174398, 6.63573128282285)"
"(1.8410411180465387, -1.6049281401524655)"
"(-6.697843852897061, -0.4097483792638195)"
"(6.260174867547653, 2.3487825038715586)"
"(-6.697843852897061, -0.4097483792638195)"
"(-0.7470399605492332, -0.8725917566737612)"
"(0.9735716717757811, -1.696634178908707)"
"(0.35662062824642715, 0.899301123382051)"
"(-1.5495235698427687, -2.398478499053157)"
"(-0.30538626609493374, 1.3352034933013157)"
"(-4.7040344728948185, 1.7789433323114836)"
"(3.056245736510353, 0.1751424613251831)"
"(-6.930459862893177, -0.0750546850127247)"
"(-3.628276871395988, -4.225295229856979)"
"(-4.50333871328131, -2.775182978024877)"
"(-4.1428461675164705, -4.782082702506898)"
"(-4.621104588011592, -2.384145024227922)"
"(4.419087825571564, -3.6017462473688537)"
"(-3.8042463434265112, 0.535731444675757)"
"(-4.4042669552872775, 2.523161821966533)"
"(-3.4152585907715847, 4.31516130659814)"
"(1.8234818095723138, -4.226581576258869)"
"(3.1809292115455614, 3.65236638076344)"
"(1.4101423160528943, 1.2863169151417433)"
"(-6.955798130106529, -0.5619477220005282)"
"(2.8637432774328, -5.034229750785113)"
"(-3.3984672088391115, 4.38975031668278)"
"(0.704847836895824, -2.6595382985515603)"
"(-6.6798268705744555, -0.4095221054853085)"
"(1.2864566251391396, 3.849354579529363)"
"(-3.683050006237186, 1.961253732861425)"
"(-3.829289240478469, 0.8619223717672371)"
"(-3.436253605313818, -3.8933768996015496)"
"(-4.575567908365572, -0.602773045775322)"
"(1.5474940415994298, 0.9159718702323415)"
"(5.945431703672023, -0.43306766523370527)"
"(0.7847804675404674, 4.428974745769863)"
"(2.8101196743637242, -2.8169896219484296)"
"(3.9205667085751026, 2.583458488782213)"
"(1.8734992386442246, -7.00115993307491)"
"(-1.9975502287033093, -0.9984162138007601)"
"(1.0594763738386077, -5.2999955402798635)"
"(0.01714111267265127, 6.461220237146578)"
"(2.503705046924075, 2.7769050644087443)"
"(0.7206552627125046, -5.865230087557213)"
"(-4.012640631735951, -1.5047763220055823)"
"(-1.142975014820188, -0.26171305641879067)"
"(-0.48021678671560175, 6.503613213763776)"
"(7.3135403641314465, 0.9342924362952301)"
"(5.961776179478592, -1.2428518355550047)"
"(1.7893373289676433, 2.625051418487109)"
"(-6.029756760816576, -0.15719946476553026)"
"(6.413331864356835, 1.6462046223948088)"
"(-3.3879323172702103, 3.2473929841303373)"
"(-2.0412744748525746, 1.333111363485552)"
"(-1.2814954835459007, 2.216315939842996)"
"(-2.6950833576546835, 2.2754212126149813)"
"(1.1638288419685832, 3.505554586770136)"
"(-5.610101162112224, 0.24258022988226272)"
"(5.961776179478592, -1.2428518355550047)"
"(-1.44799465247733, 5.865903260092481)"
"(1.87418046418014, -7.003492066271634)"
"(3.3409428427907755, 3.446861167141982)"
"(-4.826165344159711, 1.7029366806555166)"
"(-1.6059768832875034, -2.157376230450983)"
"(-6.091674899874649, -1.1864217777607522)"
"(3.6297510460166347, -3.223361771376792)"
"(-2.826073961279767, 4.753866976351917)"
"(0.6546890016378523, 0.7767951606105385)"
"(2.000020578433563, 4.107425440235643)"
"(-1.2490463910012648, -5.368010558291977)"
"(4.975510764154459, 0.5435703095039591)"
"(1.1638630475571892, 3.5089919765870867)"
"(-4.633621582373366, 1.4893685368151661)"
"(0.717078289381498, -5.851556449559246)"
"(6.160005268543001, 2.5649826503665536)"
"(-2.606551647480243, -1.904830350543985)"
