POS
"(13.639496, 6.9813457)"
"(4.772644, -5.2867804)"
"(3.257962, -0.76212186)"
"(3.1089022, -4.219702)"
"(-5.175885, 7.0031385)"
"(4.75369, 3.8536189)"
"(5.172251, 13.179425)"
"(-4.3094926, 0.6278535)"
"(4.7761297, 5.559872)"
"(-4.008165, 0.64315)"
"(3.4662056, 2.3795958)"
"(0.41474792, -2.3498292)"
"(4.12404, -5.1256666)"
"(-6.9485836, 4.756954)"
"(2.4151695, 15.271915)"
"(3.932468, -4.312539)"
"(2.226759, 4.670198)"
"(-4.4257298, 4.4932885)"
"(5.47294, 3.3877313)"
"(8.813559, -0.5427054)"
"(-5.6470346, 5.229703)"
"(-3.045101, 1.0272639)"
"(-3.514421, 4.8932743)"
"(1.5409317, 13.061075)"
"(-4.2202287, 6.6175876)"
"(-2.4295657, 7.0533075)"
"(-4.928919, 4.514719)"
"(0.043103695, 14.867019)"
"(12.868596, 5.0532746)"
"(-0.07350704, 14.388471)"
"(0.47016627, 12.869944)"
"(3.2144709, 10.827043)"
"(5.7946844, 9.257813)"
"(13.213735, 7.3841825)"
"(3.1437871, 13.1808605)"
"(-2.479842, 3.224964)"
"(0.78697103, 3.3394363)"
"(-4.7163677, 7.6098557)"
"(8.088352, 10.217968)"
"(9.979092, 4.162815)"
"(-3.5621815, -0.24619012)"
"(6.0782194, 10.841416)"
"(6.039406, 13.975346)"
"(6.524137, 5.8908167)"
"(3.681096, -4.652006)"
"(1.7546148, 14.359115)"
"(5.149844, -3.6319137)"
"(0.42296225, 5.246419)"
"(-0.9698964, 1.4161215)"
"(7.5411677, 4.9736624)"
"(2.1668284, 5.1720715)"
"(11.062457, 2.128261)"
"(8.648291, 9.654751)"
"(4.151904, 12.685179)"
"(10.111552, 5.4668746)"
"(0.77014554, -0.34259814)"
"(-2.69414, 6.295833)"
"(-4.993783, 5.415995)"
"(-3.8006158, 6.182366)"
"(6.3670907, 9.696037)"
"(-3.0789723, 5.4841466)"
"(-2.135037, 0.363434)"
"(3.0088613, 5.6294093)"
"(3.8244448, -4.8786197)"
"(0.2511212, 0.41655433)"
"(-0.45046383, 1.8466392)"
"(8.141662, -1.2885088)"
"(0.21303393, 3.9914777)"
"(-4.839788, 8.5528555)"
"(6.5603623, 13.31675)"
"(4.761442, -0.072439425)"
"(4.6615934, -0.08263497)"
"(4.51827, -3.3795924)"
"(5.442983, 3.1110053)"
"(0.41964746, 5.6289787)"
"(-1.4604164, 11.687166)"
"(-2.55574, 5.160806)"
"(7.6261163, 12.56296)"
"(4.9060135, -0.8560342)"
"(4.3744683, 13.3630085)"
"(0.5654689, 4.434527)"
"(7.048176, -2.1669421)"
"(0.22723141, 3.2185884)"
"(4.6806164, 14.301981)"
"(10.604097, 4.604101)"
"(7.408775, 7.162871)"
"(2.4411304, -0.043369506)"
"(0.0036858318, 1.435025)"
"(5.8759036, 3.0028422)"
"(3.3960233, 3.2098374)"
"(12.464733, 6.5070863)"
"(6.7148848, 6.964185)"
"(3.6194305, 3.7073736)"
"(4.7377634, -3.7690072)"
"(-1.5559864, 5.690048)"
"(3.6687586, -1.7056326)"
"(1.2330939, 9.402659)"
"(12.437411, 3.3516247)"
"(3.5594177, 14.072021)"
"(7.313585, 11.177357)"
"(9.782733, 2.3658807)"
"(-2.428947, -0.670848)"
"(0.9816594, 1.0708008)"
"(-4.3050785, 0.4582828)"
"(4.4282002, -0.20811404)"
"(-6.533645, 6.2561436)"
"(8.004545, 11.317133)"
"(4.932707, 4.3432136)"
"(2.3707354, 6.5803113)"
"(-0.57339644, 3.5613146)"
"(-6.080786, 7.0863147)"
"(2.6120608, -2.1590655)"
"(8.793832, 9.31988)"
"(-0.51821965, 8.606326)"
"(0.93550605, 10.693375)"
"(4.5223727, 5.285847)"
"(9.1477375, 11.446779)"
"(13.055648, 4.8127584)"
"(4.060732, -2.66917)"
"(4.6544633, 13.2988615)"
"(-0.55294573, 10.756104)"
"(5.541189, 9.963271)"
"(2.6221335, 8.860856)"
"(-2.73179, 3.9539638)"
"(0.45171583, 14.138038)"
"(6.513775, 9.708156)"
"(0.4366523, 9.070069)"
"(6.711858, 1.3998629)"
"(3.4350219, 14.485422)"
"(6.357206, 13.671326)"
"(6.1614437, 9.469126)"
"(2.8114698, -2.6701953)"
"(6.296192, 7.489017)"
"(4.554952, 6.780982)"
"(10.396882, 8.9609995)"
"(8.871863, 8.635183)"
"(10.00607, 5.2535343)"
"(2.5133662, 14.088666)"
"(-1.8573707, 7.0225053)"
"(6.7006407, 4.4705834)"
"(5.887812, 5.0008807)"
"(-2.8218536, 5.313595)"
"(-0.12506448, 14.481739)"
"(-0.30171365, 4.897898)"
"(-6.371569, 3.6665616)"
"(3.821525, -2.1370225)"
"(11.474661, 6.3267994)"
"(-5.089167, 6.0904765)"
"(4.4412856, 6.0360513)"
"(2.3014035, 11.098354)"
"(5.8505883, -0.13105564)"
"(-0.21936712, 12.8646755)"
"(6.634546, 6.950799)"
"(0.48425862, -1.8850018)"
"(4.706785, -5.007779)"
"(-5.567222, 8.087315)"
"(-5.4642377, 2.3232284)"
"(9.259105, 10.445378)"
"(-1.9391068, 3.9244735)"
"(3.2054174, 11.92524)"
"(-2.7090173, -0.059736654)"
"(4.2680106, -5.614011)"
"(7.870622, -0.99889535)"
"(-1.314555, -0.6111028)"
"(8.966281, 9.42395)"
"(8.639008, -1.5200871)"
"(6.7209067, 4.7830343)"
"(11.717422, 8.754502)"
"(1.2274587, 12.655347)"
"(2.3026965, 12.510256)"
"(10.260968, 9.257092)"
"(8.193895, 11.318388)"
"(2.2960787, 1.2462188)"
"(8.185626, 5.1644297)"
"(7.1217947, 8.99268)"
"(-4.2928505, 8.942747)"
"(-2.6388135, 0.6577217)"
"(4.1675487, -2.645052)"
"(-5.4155893, 7.732368)"
"(3.960879, 2.629952)"
"(7.9225903, 4.3380914)"
"(8.364676, 4.7095633)"
"(3.8639352, 6.076393)"
"(-3.216551, 7.35858)"
"(1.8313453, 6.44989)"
"(0.45760086, 0.41596204)"
"(4.719768, -1.7297816)"
"(2.0404184, 8.904076)"
"(-5.400368, 2.056629)"
"(2.1653554, -1.8497944)"
"(4.741649, -5.7095156)"
"(3.2555542, 4.8724685)"
"(-4.026001, 7.944789)"
"(8.927915, -0.8984114)"
"(-3.858633, 9.432325)"
"(9.855525, 7.472959)"
