POS
"(7.54541, -0.6951854)"
"(-2.0014164, -1.1872853)"
"(-5.3669524, 7.5327806)"
"(6.5104856, 4.3781843)"
"(-1.2430849, 2.7848165)"
"(6.029358, 5.222685)"
"(-4.8556767, 8.63043)"
"(-0.6613918, 4.2050943)"
"(-4.567346, 9.420007)"
"(6.1648045, 4.2052283)"
"(-5.7441707, 5.0647593)"
"(3.0153227, 10.193338)"
"(5.5322113, 6.1829934)"
"(0.015181132, 4.5169506)"
"(4.776771, 7.304563)"
"(-0.3608586, -1.5860146)"
"(1.6178274, 1.1010526)"
"(-0.22727075, 9.20364)"
"(-1.5688413, -1.0861267)"
"(1.3644339, -0.86814106)"
"(-4.343756, 9.394179)"
"(3.3436027, 2.4190536)"
"(2.2647402, 4.236032)"
"(-1.2135355, 5.315247)"
"(1.1925449, 0.63910204)"
"(4.7792363, 0.2561659)"
"(-3.8764608, 8.342312)"
"(-0.062214017, 2.3274424)"
"(-1.0378616, -1.1455077)"
"(6.7143826, 3.7707915)"
"(1.767713, 7.3604646)"
"(-2.6451766, 3.940703)"
"(1.8835363, 5.5445294)"
"(-0.026932582, 1.3322875)"
"(0.043978132, -0.38275978)"
"(-0.49367565, 3.8894584)"
"(3.4059439, 8.192952)"
"(-2.4680989, -1.2385553)"
"(1.988267, 10.563032)"
"(-4.929782, 4.5290327)"
"(1.3871855, 7.7848954)"
"(7.149091, 0.53372496)"
"(1.1282384, 9.172584)"
"(5.9761434, 7.157687)"
"(7.8473577, 4.3530416)"
"(3.1594925, 9.964014)"
"(2.992748, 4.3697834)"
"(-2.895301, 5.037838)"
"(-2.8216393, -0.45628121)"
"(3.1834579, 3.255641)"
"(7.9495063, -0.423301)"
"(-0.87846327, 8.218631)"
"(-1.3343296, 4.053389)"
"(3.408276, -0.9287881)"
"(-2.0343993, 4.9660206)"
"(2.4639153, 7.9221416)"
"(1.7536088, 3.4526708)"
"(7.423991, 4.6430044)"
"(0.583677, 8.021944)"
"(1.6841471, 9.135255)"
"(-4.790758, 7.228274)"
"(5.282917, -0.082539134)"
"(6.6266975, 5.996335)"
"(-1.405041, 8.844795)"
"(1.3101044, 6.909863)"
