POS
"(-7.6842947, 8.670129)"
"(-0.51410824, 15.500084)"
"(-4.8220563, 14.529442)"
"(-0.4811187, 12.778752)"
"(-7.2602015, 8.060601)"
"(-10.630636, 14.16085)"
"(-8.524392, 15.1394)"
"(-10.993604, 12.452784)"
"(-6.08898, 16.305296)"
"(-4.5002413, 15.100473)"
"(-7.4273167, 9.786189)"
"(-6.5552087, 9.1603775)"
"(-7.676472, 16.027424)"
"(-5.9412484, 10.058668)"
"(-2.594272, 16.415533)"
"(-0.30787784, 14.719403)"
"(-1.5155325, 13.595077)"
"(-9.614163, 14.955911)"
"(-5.5196652, 15.8246155)"
"(-8.209063, 8.798124)"
"(-6.745937, 8.150481)"
"(-10.342148, 12.930156)"
"(-10.519418, 11.725657)"
"(-5.6038866, 8.764434)"
"(-11.082418, 14.852601)"
"(-9.925148, 15.3911915)"
"(-0.5523749, 13.428852)"
"(-5.2910385, 9.7084875)"
"(-6.5961175, 15.358798)"
"(-1.2873179, 16.042381)"
"(-1.4009241, 14.756092)"
"(-9.953453, 11.128717)"
"(-9.919533, 13.674134)"
"(-7.448195, 10.724235)"
"(-8.578086, 16.07515)"
"(-2.9616437, 14.886857)"
"(-8.32601, 10.046486)"
"(-9.522397, 12.027501)"
"(-4.2569, 16.037832)"
"(-9.164289, 9.577046)"
"(-7.592131, 14.860503)"
"(-2.2211897, 15.821167)"
"(-5.939654, 14.858622)"
"(-9.158622, 14.278939)"
"(-1.6456317, 14.590505)"
"(-6.7268004, 10.228933)"
"(-0.023095481, 14.179906)"
"(-1.9314523, 12.665723)"
"(-3.2494297, 15.397194)"
"(-0.997098, 12.231754)"
