,Embedded dimension,Random Walk length,Objective function
0,99,76,0.8886819056082386
1,105,13,0.8157153761967392
2,79,89,0.8954407172660039
3,78,64,0.8768735895424297
4,183,68,0.7818492892355775
5,131,95,0.915332160054008
6,101,51,0.8949950863811336
7,68,39,0.8952966115304672
8,103,95,0.6449451862012314
9,45,59,0.8842255009837052
10,143,29,0.9139088296853678
11,156,36,0.8675557637035806
12,164,4,0.10304949245001027
13,128,86,0.9042307397745588
14,63,61,0.9270787917331036
15,192,32,0.9175855809965865
16,69,91,0.902437666851542
17,42,91,0.8797976937785423
18,57,74,0.8857908426609921
19,92,11,0.8279125713322988
20,128,87,0.8911520724725572
21,131,94,0.8808627695788037
22,80,66,0.8791718741169273
23,69,40,0.7816102854588018
24,98,76,0.8858425462998016
25,81,66,0.9049402426081652
26,63,61,0.888376616840991
27,79,65,0.9033324129698237
28,154,36,0.9081102915305233
29,80,91,0.694170398129214
30,65,61,0.8898651787228877
31,41,92,0.879682298306394
32,97,74,0.8882432935840501
33,103,15,0.8613653459336499
34,128,84,0.7929854087698494
35,58,74,0.9030226665154522
36,128,88,0.9041376000040368
37,67,92,0.8182382443135916
38,44,58,0.875559645177067
39,42,92,0.7631489081004617
40,68,92,0.8465394377440552
41,133,92,0.8954911361275693
42,129,86,0.6475334843236789
43,144,29,0.7659468003998178
44,80,64,0.8757871331055
45,102,51,0.8867549865833779
46,68,40,0.8679780786580453
47,106,10,0.8449309265654172
48,106,13,0.7828996450117899
49,91,12,0.6900528035179465
50,69,90,0.8999740915820051
51,78,66,0.8950090648197266
52,57,76,0.8889496427324335
53,56,75,0.8689284755644032
54,127,84,0.7145729966548515
55,62,60,0.8929347181856089
56,67,41,0.8901253106379363
57,127,91,0.9027075118712905
58,67,94,0.8755829270208453
59,157,35,0.9053159049129107
60,104,13,0.8747796878930802
61,80,89,0.7805161220795371
62,79,88,0.9110706913779465
63,193,30,0.8478339589627399
64,58,73,0.8875710614840651
65,195,32,0.894897365447771
66,79,67,0.862347080075184
67,182,68,0.8864824148722467
68,105,14,0.861849050094959
69,127,83,0.8879328297880305
70,44,56,0.8993851519172646
71,144,30,0.904886083697589
72,71,89,0.8670744957747538
73,69,41,0.8823101368782873
74,77,91,0.9015343221195385
75,63,62,0.780215584330046
76,78,69,0.8696541791221377
77,102,15,0.8621566871811133
78,80,88,0.8854865873454351
79,91,11,0.7034823964897005
80,90,12,0.6966798916894512
81,78,91,0.889448014677114
82,70,92,0.7734371870012298
83,133,94,0.8306012244841882
84,194,34,0.9175309511284581
85,193,33,0.9014593259218744
86,81,89,0.7846664802440237
87,68,42,0.830610482437584
88,128,81,0.8653573037095244
89,129,85,0.8763224215994382
90,132,95,0.8896612726630432
91,80,67,0.9080191509837393
92,128,80,0.8983887654158549
93,77,68,0.7121096317124451
94,68,93,0.8890852377208069
95,75,69,0.8889087049430111
96,67,42,0.8849777832916397
97,92,13,0.8060148729316212
98,195,33,0.864923117111875
99,97,73,0.8875315164209698
