,Embedded dimension,Random Walk length,Objective function
0,4,3,0.09948737087285534
1,4,15,0.8924732176071741
2,4,27,0.824152177395882
3,4,39,0.8169961303533294
4,4,51,0.8605576396950225
5,4,63,0.7545290445608097
6,4,75,0.8967555369747688
7,4,87,0.7786312374278554
8,4,99,0.7642354198499716
9,28,3,0.14811322278120465
10,28,15,0.836140335494666
11,28,27,0.8736602601469623
12,28,39,0.904298394130311
13,28,51,0.8407415967966254
14,28,63,0.8763163373151936
15,28,75,0.8248711315715239
16,28,87,0.8661298703064455
17,28,99,0.9103368241971199
18,52,3,0.1202499322791715
19,52,15,0.8746963888191226
20,52,27,0.9006886617597999
21,52,39,0.9108074383426583
22,52,51,0.9185964548891488
23,52,63,0.7750273747944317
24,52,75,0.885294281294738
25,52,87,0.8789256500731344
26,52,99,0.8359340603242807
27,76,3,0.17051713772959015
28,76,15,0.8634078194984061
29,76,27,0.9128746100398544
30,76,39,0.8106806071553487
31,76,51,0.8668401693166173
32,76,63,0.8991368559784003
33,76,75,0.8826887755738755
34,76,87,0.7250743856237134
35,76,99,0.8091837695518196
36,100,3,0.11361353556402726
37,100,15,0.8673422761824094
38,100,27,0.8893684909054936
39,100,39,0.8054587905264909
40,100,51,0.7779479932832283
41,100,63,0.9136131434120276
42,100,75,0.8911996631394314
43,100,87,0.8877654884910917
44,100,99,0.856049258140452
45,124,3,0.1169687125051476
46,124,15,0.8193234375833143
47,124,27,0.8870335801120741
48,124,39,0.8901035537576478
49,124,51,0.7621787110995345
50,124,63,0.8831400152806055
51,124,75,0.8871374635909661
52,124,87,0.8625169415818973
53,124,99,0.8929489423720454
54,148,3,0.17510579757331993
55,148,15,0.8967188508602807
56,148,27,0.7717066462475836
57,148,39,0.8904303456072249
58,148,51,0.8119541675252475
59,148,63,0.838706713482981
60,148,75,0.7827933657643137
61,148,87,0.8409202225315394
62,148,99,0.8915794729870155
63,172,3,0.1477270849578668
64,172,15,0.8944826993507216
65,172,27,0.8933941233332874
66,172,39,0.8326585837698356
67,172,51,0.8561668112512407
68,172,63,0.8366797738190392
69,172,75,0.8869216389161874
70,172,87,0.8925888754999497
71,172,99,0.8603992114401899
72,196,3,0.20727511310773722
73,196,15,0.8966096948800282
74,196,27,0.909159044174006
75,196,39,0.884754538459382
76,196,51,0.8412706574574889
77,196,63,0.8974239255594276
78,196,75,0.8374447014032631
79,196,87,0.8959559775966213
80,196,99,0.7542257519647207
81,220,3,0.07991125368442681
82,220,15,0.8815178151668881
83,220,27,0.877835106617136
84,220,39,0.9052087594129654
85,220,51,0.8655131657149422
86,220,63,0.897992459181107
87,220,75,0.8920701333785261
88,220,87,0.9112973624252843
89,220,99,0.8978513645190576
90,244,3,0.16935266563276408
91,244,15,0.8917924643667825
92,244,27,0.834147401962366
93,244,39,0.8827264015408112
94,244,51,0.7087502443321015
95,244,63,0.7401936209293121
96,244,75,0.8264831039557152
97,244,87,0.7795524238075311
98,244,99,0.9011063592632511
