,Embedded dimension,Random Walk length,Objective function
0,26,85,0.7503662539521636
1,127,39,0.9045837757993078
2,172,31,0.8810845522107085
3,116,7,0.6684013295208695
4,224,32,0.8968443077377657
5,163,83,0.7144319451087442
6,98,8,0.7166525298105215
7,86,67,0.9137467774259296
8,198,26,0.877193023705775
9,208,68,0.8528645741101737
10,28,29,0.8968970743337528
11,159,89,0.8777071310785274
12,14,46,0.8851901868305068
13,172,76,0.884908542531121
14,182,31,0.8982610928115016
15,227,18,0.8920717962061633
16,233,10,0.8425045488231895
17,112,9,0.7753584474322044
18,23,60,0.8305095876237079
19,237,14,0.8891819890719279
20,183,82,0.758916584554756
21,219,49,0.9015504177371076
22,8,26,0.9092188472035458
23,76,69,0.8977186940655568
24,144,45,0.8529572051480183
25,48,25,0.7657661067015396
26,95,25,0.8340514294164543
27,249,40,0.9114875010973673
28,204,13,0.8336826818195955
29,17,73,0.7421643730642313
30,163,24,0.9020588280728367
31,216,55,0.8806362716826783
32,8,57,0.9006310176118002
33,9,33,0.8385873517949027
34,67,39,0.8834803872507019
35,171,26,0.8918799848196164
36,19,51,0.7562414774728243
37,62,73,0.7859273040741499
38,251,55,0.8916265125563139
39,133,47,0.7530559301378843
40,220,19,0.8841964562608005
41,216,93,0.8564692719470078
42,145,81,0.7454559383957753
43,243,20,0.6998389364486297
44,28,76,0.8973442483362352
45,170,31,0.8576461935433239
46,87,51,0.9103110710855751
47,232,55,0.9033924075867201
48,56,91,0.8361111559902691
49,6,28,0.9076163472501558
50,151,4,0.17080916428759987
51,195,3,0.12252037661797016
52,102,51,0.8170122056628091
53,146,77,0.911799143461357
54,141,52,0.8145008745724001
55,35,29,0.7493257836950309
56,32,96,0.888743357749005
57,253,82,0.8940597905814396
58,52,86,0.8753212014841683
59,101,35,0.8778255763122744
60,150,74,0.8839694147884956
61,243,23,0.8263988983912287
62,52,11,0.764777378091654
63,139,63,0.8717765239423408
64,79,19,0.8903877004967642
65,113,3,0.1227991584106877
66,56,29,0.882960944029214
67,29,69,0.8530922233724194
68,146,76,0.7610174713784799
69,205,55,0.7574297471825735
70,63,46,0.7430188092161569
71,180,53,0.8478002966153872
72,50,10,0.7893590128048351
73,63,4,0.2096863336463971
74,7,66,0.7582918785059257
75,6,85,0.8430054007779734
76,70,93,0.9021636826904498
77,101,50,0.8969160672507015
78,106,29,0.8753269214551409
79,85,94,0.8720664150309492
80,59,52,0.7676395225241768
81,246,3,0.14831751741276472
82,166,83,0.9158776901752486
83,37,95,0.8782058818087435
84,21,75,0.8882067252509882
85,120,18,0.8805579688130907
86,54,84,0.8394328170648702
87,92,40,0.8866503388509349
88,69,3,0.08984407356028401
89,128,65,0.9033133257789521
90,7,7,0.697705524450363
91,186,35,0.807948340486192
92,247,7,0.6938564680368199
93,94,94,0.8199693778517684
94,218,43,0.8662554449786739
95,37,78,0.8711978284358357
96,102,75,0.7755062063137299
97,175,14,0.8744722555917568
98,241,7,0.7688499983817902
99,191,40,0.8779313787575284
